Language1,Language2,Proficiency,LanguageEmbeddingDistance,AvgNounDistance,AvgJaccardDistance
FR # French,PS # Pashto,C1,0.000636816,0.021259125,0.200385841010841
FR # French,PT # Portuguese,C1,0.0007407665,0.020531196,0.19926832426832428
FR # French,RU # Russian,C1,0.0015480518,0.029724598,0.25791930019871195
FR # French,SQ # Albanian,C1,0.0014508963,0.02600483,0.24506049506049507
FR # French,SW # Swahili,C1,0.0010018945,0.02450745,0.22767047767047766
FR # French,TH # Thai,C1,0.0009483099,0.02351314,0.2269027269027269
FR # French,TR # Turkish,C1,0.0012394786,0.028901987,0.26046638546638545
FR # French,UR # Urdu,C1,0.0014745593,0.028566007,0.26888158138158136
FR # French,VI # Vietnamese,C1,0.0010869503,0.023036132,0.22767741517741516
FR # French,ZH # Mandarin,C1,0.0011461973,0.02442976,0.23362285862285864
GA # Irish,HE # Hebrew,C1,0.0012827516,0.024198718,0.23984117734117735
GA # Irish,HI # Hindi,C1,0.0034717917,0.03862023,0.3281498593998594
GA # Irish,IT # Italian,C1,0.0023056865,0.036308076,0.30506703944203944
GA # Irish,JA # Japanese,C1,0.0017793179,0.03010405,0.2729926323676324
GA # Irish,KO # Korean,C1,0.0035942793,0.04663732,0.3713867151367152
GA # Irish,LV # Latvian,C1,0.0018508434,0.036217183,0.30899019961519963
GA # Irish,PL # Polish,C1,0.0024142265,0.03348515,0.28727059977059977
GA # Irish,PS # Pashto,C1,0.002270043,0.038045637,0.31654398841898845
GA # Irish,PT # Portuguese,C1,0.00285846,0.037576884,0.316196534946535
GA # Irish,RU # Russian,C1,0.0020114183,0.034762386,0.2983301420801421
GA # Irish,SQ # Albanian,C1,0.0039738417,0.045680493,0.3706196785240903
GA # Irish,SW # Swahili,C1,0.0034598112,0.04278342,0.3484582547082547
GA # Irish,TH # Thai,C1,0.0017837882,0.03039659,0.27152534965034963
GA # Irish,TR # Turkish,C1,0.0034767985,0.044529993,0.3586378898878899
GA # Irish,UR # Urdu,C1,0.003666222,0.044250034,0.3576822483072483
GA # Irish,VI # Vietnamese,C1,0.0029316545,0.040705334,0.3398535696329814
GA # Irish,ZH # Mandarin,C1,0.003620565,0.0437993,0.3558218401968402
HE # Hebrew,HI # Hindi,C1,0.0015699863,0.030582573,0.2782980907980908
HE # Hebrew,IT # Italian,C1,0.0013799071,0.0313572,0.28543736356236354
HE # Hebrew,JA # Japanese,C1,0.0015036464,0.029578855,0.2764816202316202
HE # Hebrew,KO # Korean,C1,0.002316773,0.041753694,0.3533409877159877
HE # Hebrew,LV # Latvian,C1,0.0011129975,0.031365402,0.2954434454434455
HE # Hebrew,PL # Polish,C1,0.0013077855,0.025579993,0.24294050856550856
HE # Hebrew,PS # Pashto,C1,0.001345098,0.03465976,0.3078096671846672
HE # Hebrew,PT # Portuguese,C1,0.0016404986,0.02949848,0.27920574795574793
HE # Hebrew,RU # Russian,C1,0.0016514063,0.02728055,0.23467967217967217
HE # Hebrew,SQ # Albanian,C1,0.0023781061,0.040000644,0.3482034373578491
HE # Hebrew,SW # Swahili,C1,0.002106905,0.03888643,0.3360713360713361
HE # Hebrew,TH # Thai,C1,0.0013616681,0.027118146,0.260984385984386
HE # Hebrew,TR # Turkish,C1,0.0021085143,0.03975837,0.33576839826839827
HE # Hebrew,UR # Urdu,C1,0.0022401214,0.036026794,0.3203029609279609
HE # Hebrew,VI # Vietnamese,C1,0.0014339089,0.03262563,0.30162039077480257
HE # Hebrew,ZH # Mandarin,C1,0.0019164681,0.036497407,0.3200670856920857
HI # Hindi,IT # Italian,C1,0.000859797,0.022486499,0.2046009546009546
HI # Hindi,JA # Japanese,C1,0.0013080835,0.022822632,0.21837028712028714
HI # Hindi,KO # Korean,C1,0.000833869,0.028924452,0.2536382598882599
HI # Hindi,LV # Latvian,C1,0.0011368394,0.027789703,0.2529335248085248
HI # Hindi,PL # Polish,C1,0.00064235926,0.022788472,0.21447591760091758
HI # Hindi,PS # Pashto,C1,0.0008201599,0.027908286,0.24645030895030892
HI # Hindi,PT # Portuguese,C1,0.0006378293,0.024206474,0.2103216228216228
HI # Hindi,RU # Russian,C1,0.0024271011,0.03141664,0.24363830613830617
HI # Hindi,SQ # Albanian,C1,0.00080925226,0.027906733,0.249472286972287
HI # Hindi,SW # Swahili,C1,0.0007908344,0.027482186,0.24398182835682836
HI # Hindi,TH # Thai,C1,0.0017367601,0.027242668,0.24584905834905835
HI # Hindi,TR # Turkish,C1,0.0009511113,0.029671852,0.2591622497872498
HI # Hindi,UR # Urdu,C1,0.0007042289,0.022816084,0.21510503385503385
HI # Hindi,VI # Vietnamese,C1,0.0008852482,0.026450014,0.24064199689199692
HI # Hindi,ZH # Mandarin,C1,0.00037837029,0.023490138,0.21604853479853478
IT # Italian,JA # Japanese,C1,0.00064593554,0.021233747,0.21220584970584971
IT # Italian,KO # Korean,C1,0.0006428957,0.024077341,0.22245416620416622
IT # Italian,LV # Latvian,C1,0.00043928623,0.02007813,0.19916796166796166
IT # Italian,PL # Polish,C1,0.00078213215,0.020613108,0.19323789636289634
IT # Italian,PS # Pashto,C1,0.00049608946,0.020699022,0.2019561457061457
IT # Italian,PT # Portuguese,C1,0.00064212084,0.02130443,0.20125615125615126
IT # Italian,RU # Russian,C1,0.0019077063,0.030231714,0.24367472804972806
IT # Italian,SQ # Albanian,C1,0.0007914901,0.022570888,0.21654803529803526
IT # Italian,SW # Swahili,C1,0.00048065186,0.0209911,0.193749074999075
IT # Italian,TH # Thai,C1,0.0010911822,0.024759378,0.2294117919117919
IT # Italian,TR # Turkish,C1,0.0008711815,0.02671324,0.2379571817071817
IT # Italian,UR # Urdu,C1,0.0007901788,0.024597205,0.2332373644873645
IT # Italian,VI # Vietnamese,C1,0.0005338788,0.020657605,0.2028695841195841
IT # Italian,ZH # Mandarin,C1,0.0008428097,0.023869127,0.22096722721722722
JA # Japanese,KO # Korean,C1,0.0009812713,0.025748985,0.2333939208939209
JA # Japanese,LV # Latvian,C1,0.000780344,0.023758898,0.2306249306249306
JA # Japanese,PL # Polish,C1,0.0011371374,0.025121894,0.23675629925629924
JA # Japanese,PS # Pashto,C1,0.00092959404,0.025901001,0.2390780515780516
JA # Japanese,PT # Portuguese,C1,0.0010370016,0.024338089,0.22374061124061123
JA # Japanese,RU # Russian,C1,0.0015836358,0.029090218,0.24872941600882775
