Category1,Category2,DistanceType,EffectSize,Category1Mean,Category2Mean,Category1Count,Category2Count
Environmental Phenomena,Inanimate Objects,Cosine,-0.39425831588036847,0.016193463188377458,0.02359014608880305,3312,3312
Food Items,Places,Cosine,-0.38596510058338684,0.01708724936247841,0.024577553446896126,3312,3312
Environmental Phenomena,Human Roles,Cosine,-0.36932791756642463,0.016193463188377458,0.022633864760476106,3312,3312
Abstract Concepts,Neutral Animals,Cosine,0.35139501297080405,0.028226307717628064,0.020645625558310104,3312,3312
Cultural Artifacts,Environmental Phenomena,Cosine,0.34094788061763726,0.02250150125705426,0.016193463188377458,3312,3312
Food Items,Inanimate Objects,Cosine,-0.3399338732984742,0.01708724936247841,0.02359014608880305,3312,3312
Environmental Phenomena,Social Relationships,Cosine,-0.33497220156741175,0.016193463188377458,0.02181663227661166,3312,3312
Food Items,Human Roles,Cosine,-0.3110060545281771,0.01708724936247841,0.022633864760476106,3312,3312
Neutral Animals,Time Concepts,Cosine,-0.30977790424281165,0.020645625558310104,0.027283044936156683,3312,3312
Abstract Concepts,Social Relationships,Cosine,0.30583994070978915,0.028226307717628064,0.02181663227661166,3312,3312
Cultural Artifacts,Food Items,Cosine,0.2868412989938514,0.02250150125705426,0.01708724936247841,3312,3312
Food Items,Social Relationships,Cosine,-0.2749921674623266,0.01708724936247841,0.02181663227661166,3312,3312
Social Relationships,Time Concepts,Cosine,-0.26272559050741306,0.02181663227661166,0.027283044936156683,3312,3312
Abstract Concepts,Human Roles,Cosine,0.2603224228945046,0.028226307717628064,0.022633864760476106,3312,3312
Abstract Concepts,Cultural Artifacts,Cosine,0.25609190735142495,0.028226307717628064,0.02250150125705426,3312,3312
Environmental Phenomena,Neutral Animals,Cosine,-0.2536938173579045,0.016193463188377458,0.020645625558310104,3312,3312
Neutral Animals,Plants,Cosine,-0.2342989244880023,0.020645625558310104,0.025623545615932265,3312,3312
Human Roles,Time Concepts,Cosine,-0.2179091269032416,0.022633864760476106,0.027283044936156683,3312,3312
Cultural Artifacts,Time Concepts,Cosine,-0.21525942019614133,0.02250150125705426,0.027283044936156683,3312,3312
Abstract Concepts,Inanimate Objects,Cosine,0.2054146598863005,0.028226307717628064,0.02359014608880305,3312,3312
Neutral Animals,Places,Cosine,-0.2012632337545632,0.020645625558310104,0.024577553446896126,3312,3312
Food Items,Neutral Animals,Cosine,-0.19831379030459784,0.01708724936247841,0.020645625558310104,3312,3312
Plants,Social Relationships,Cosine,0.1846154935005711,0.025623545615932265,0.02181663227661166,3312,3312
Inanimate Objects,Time Concepts,Cosine,-0.16464424856697826,0.02359014608880305,0.027283044936156683,3312,3312
Abstract Concepts,Places,Cosine,0.15999900707226544,0.028226307717628064,0.024577553446896126,3312,3312
Inanimate Objects,Neutral Animals,Cosine,0.15287231107376317,0.02359014608880305,0.020645625558310104,3312,3312
Places,Social Relationships,Cosine,0.14643396575661727,0.024577553446896126,0.02181663227661166,3312,3312
Cultural Artifacts,Plants,Cosine,-0.14165988962090303,0.02250150125705426,0.025623545615932265,3312,3312
Human Roles,Plants,Cosine,-0.14132751276849004,0.022633864760476106,0.025623545615932265,3312,3312
Places,Time Concepts,Cosine,-0.11936287768279935,0.024577553446896126,0.027283044936156683,3312,3312
Human Roles,Neutral Animals,Cosine,0.11060937630853743,0.022633864760476106,0.020645625558310104,3312,3312
Abstract Concepts,Plants,Cosine,0.10717309401458726,0.028226307717628064,0.025623545615932265,3312,3312
Cultural Artifacts,Places,Cosine,-0.10178810601050702,0.02250150125705426,0.024577553446896126,3312,3312
Human Roles,Places,Cosine,-0.10000236242640241,0.022633864760476106,0.024577553446896126,3312,3312
Cultural Artifacts,Neutral Animals,Cosine,0.09763344729996488,0.02250150125705426,0.020645625558310104,3312,3312
Inanimate Objects,Social Relationships,Cosine,0.09550760926289961,0.02359014608880305,0.02181663227661166,3312,3312
Inanimate Objects,Plants,Cosine,-0.09135861969613954,0.02359014608880305,0.025623545615932265,3312,3312
Plants,Time Concepts,Cosine,-0.06870111222016825,0.025623545615932265,0.027283044936156683,3312,3312
Neutral Animals,Social Relationships,Cosine,-0.06751533228769986,0.020645625558310104,0.02181663227661166,3312,3312
Cultural Artifacts,Inanimate Objects,Cosine,-0.05407366034057743,0.02250150125705426,0.02359014608880305,3312,3312
Environmental Phenomena,Food Items,Cosine,-0.05135223040577791,0.016193463188377458,0.01708724936247841,3312,3312
Human Roles,Inanimate Objects,Cosine,-0.04991014974268198,0.022633864760476106,0.02359014608880305,3312,3312
Inanimate Objects,Places,Cosine,-0.04785911969179589,0.02359014608880305,0.024577553446896126,3312,3312
Human Roles,Social Relationships,Cosine,0.04742583920127782,0.022633864760476106,0.02181663227661166,3312,3312
Places,Plants,Cosine,-0.04649745324756328,0.024577553446896126,0.025623545615932265,3312,3312
Abstract Concepts,Time Concepts,Cosine,0.03858945977694901,0.028226307717628064,0.027283044936156683,3312,3312
