Language1,Language2,Proficiency,LanguageEmbeddingDistance,AvgNounDistance,AvgJaccardDistance
HI # Hindi,VI # Vietnamese,B1,0.001290977,0.031883214,0.25941304066304066
HI # Hindi,ZH # Mandarin,B1,0.0016466379,0.03268581,0.2864901302401302
IT # Italian,JA # Japanese,B1,0.0013139844,0.028677076,0.2446727088271206
IT # Italian,KO # Korean,B1,0.001511693,0.029940818,0.24877740043181218
IT # Italian,LV # Latvian,B1,0.0006161928,0.019048687,0.1995458245458245
IT # Italian,PL # Polish,B1,0.002335608,0.031529482,0.2454820846364964
IT # Italian,PS # Pashto,B1,0.0007285476,0.027685234,0.24908193658193659
IT # Italian,PT # Portuguese,B1,0.0019789338,0.026808169,0.21562074227515404
IT # Italian,RU # Russian,B1,0.0012463331,0.021051165,0.2180065305065305
IT # Italian,SQ # Albanian,B1,0.0021607876,0.030531777,0.25711397126838303
IT # Italian,SW # Swahili,B1,0.0026067495,0.03144533,0.25859383671883673
IT # Italian,TH # Thai,B1,0.0018655658,0.028588925,0.25244258056758057
IT # Italian,TR # Turkish,B1,0.0005825758,0.022217214,0.1992064648314648
IT # Italian,UR # Urdu,B1,0.0032257438,0.032622974,0.2613179644429644
IT # Italian,VI # Vietnamese,B1,0.001903832,0.029973043,0.2519066581566582
IT # Italian,ZH # Mandarin,B1,0.0021147728,0.03161197,0.26111228776669954
JA # Japanese,KO # Korean,B1,0.0014212728,0.022175586,0.20504033004033
JA # Japanese,LV # Latvian,B1,0.0012740493,0.027911779,0.2375085766629884
JA # Japanese,PL # Polish,B1,0.0010890365,0.024414044,0.2185222185222185
JA # Japanese,PS # Pashto,B1,0.0012772679,0.026440931,0.22428959928959927
JA # Japanese,PT # Portuguese,B1,0.0026362538,0.02503208,0.23033679283679284
JA # Japanese,RU # Russian,B1,0.0016360283,0.027502025,0.24803032615532614
JA # Japanese,SQ # Albanian,B1,0.0010945201,0.020922754,0.19604700854700854
JA # Japanese,SW # Swahili,B1,0.0020843148,0.028061774,0.2488136863136863
JA # Japanese,TH # Thai,B1,0.0029305816,0.036228593,0.2655368755246206
JA # Japanese,TR # Turkish,B1,0.0014702082,0.027335184,0.23954748954748956
JA # Japanese,UR # Urdu,B1,0.0027109385,0.027375156,0.22939560439560436
JA # Japanese,VI # Vietnamese,B1,0.0013725758,0.026527142,0.2309056684056684
JA # Japanese,ZH # Mandarin,B1,0.0015250444,0.027493892,0.25245356495356497
KO # Korean,LV # Latvian,B1,0.0014051795,0.03075511,0.2579418470962589
KO # Korean,PL # Polish,B1,0.0014858246,0.026197808,0.2319879194879195
KO # Korean,PS # Pashto,B1,0.0016742349,0.035498645,0.27963240463240463
KO # Korean,PT # Portuguese,B1,0.0038198829,0.030481355,0.2622285122285122
KO # Korean,RU # Russian,B1,0.0021336675,0.033069067,0.2909596190846191
KO # Korean,SQ # Albanian,B1,0.0012531877,0.02299472,0.21404058904058904
KO # Korean,SW # Swahili,B1,0.0030061007,0.033779915,0.2750380406630406
KO # Korean,TH # Thai,B1,0.0016574264,0.030150583,0.23746830058104568
KO # Korean,TR # Turkish,B1,0.0016427636,0.02765585,0.2357087357087357
KO # Korean,UR # Urdu,B1,0.0037940145,0.036116485,0.285563973063973
KO # Korean,VI # Vietnamese,B1,0.00063991547,0.02119832,0.19349516224516225
KO # Korean,ZH # Mandarin,B1,0.0019614697,0.03171752,0.27383727383727385
LV # Latvian,PL # Polish,B1,0.0019356608,0.027351521,0.22250737416178593
LV # Latvian,PS # Pashto,B1,0.00078207254,0.02591531,0.2455322455322455
LV # Latvian,PT # Portuguese,B1,0.0019655228,0.031011786,0.2638919155463273
LV # Latvian,RU # Russian,B1,0.0013172626,0.020203223,0.19375069375069376
LV # Latvian,SQ # Albanian,B1,0.0017797351,0.024859147,0.2135186776730894
LV # Latvian,SW # Swahili,B1,0.0027546287,0.031097353,0.26683096995596994
LV # Latvian,TH # Thai,B1,0.0019116998,0.026802016,0.25133200133200134
LV # Latvian,TR # Turkish,B1,0.00053960085,0.022080084,0.20838709901209898
LV # Latvian,UR # Urdu,B1,0.0029497147,0.030619051,0.25332133144633145
LV # Latvian,VI # Vietnamese,B1,0.001816392,0.032464042,0.2716762404262404
